iter	Passed	Remaining
1425	24739	9958
1426	24755	9940
1427	24772	9922
1428	24788	9904
1429	24803	9886
1430	24819	9868
1431	24838	9852
1432	24858	9835
1433	24874	9817
1434	24891	9800
1435	24907	9782
1436	24926	9766
1437	24942	9748
1438	24959	9730
1439	24976	9712
1440	24992	9695
1441	25007	9676
1442	25024	9659
1443	25040	9641
1444	25056	9623
1445	25071	9605
1446	25087	9587
1447	25102	9569
1448	25118	9551
1449	25133	9533
1450	25149	9515
1451	25165	9497
1452	25180	9479
1453	25196	9461
1454	25211	9443
1455	25228	9426
1456	25243	9407
1457	25258	9389
1458	25273	9371
1459	25289	9353
1460	25304	9335
1461	25319	9317
1462	25335	9299
1463	25351	9281
1464	25366	9263
1465	25381	9245
1466	25395	9227
1467	25410	9208
1468	25425	9190
1469	25441	9172
1470	25456	9154
1471	25471	9136
1472	25486	9118
1473	25501	9100
1474	25517	9082
1475	25532	9064
1476	25547	9046
1477	25563	9028
1478	25580	9010
1479	25597	8993
1480	25613	8975
1481	25628	8957
1482	25643	8939
1483	25659	8922
1484	25674	8904
1485	25690	8886
1486	25705	8868
1487	25721	8850
1488	25737	8832
1489	25752	8814
1490	25767	8796
1491	25783	8778
1492	25799	8761
1493	25814	8743
1494	25829	8725
1495	25846	8707
1496	25860	8689
1497	25876	8671
1498	25890	8653
1499	25905	8635
1500	25919	8616
1501	25934	8598
1502	25950	8581
1503	25966	8563
1504	25981	8545
1505	25996	8527
1506	26011	8509
1507	26026	8491
1508	26042	8473
1509	26057	8455
1510	26072	8437
1511	26087	8419
1512	26102	8401
1513	26117	8383
1514	26132	8365
1515	26147	8347
1516	26161	8329
1517	26176	8311
1518	26190	8293
1519	26205	8275
1520	26221	8257
1521	26236	8239
1522	26252	8222
1523	26267	8204
1524	26282	8186
1525	26296	8168
1526	26311	8150
1527	26326	8132
1528	26341	8114
1529	26356	8096
1530	26372	8078
1531	26386	8060
1532	26402	8042
1533	26417	8025
1534	26432	8007
1535	26447	7989
1536	26461	7971
1537	26476	7953
1538	26492	7935
1539	26506	7917
1540	26521	7899
1541	26537	7882
1542	26552	7864
1543	26567	7846
1544	26582	7828
1545	26597	7810
1546	26613	7793
1547	26628	7775
1548	26645	7757
1549	26659	7739
1550	26675	7722
1551	26690	7704
1552	26706	7686
1553	26724	7670
1554	26740	7652
1555	26755	7634
1556	26770	7616
1557	26785	7599
1558	26801	7581
1559	26817	7563
1560	26832	7546
1561	26847	7528
1562	26862	7510
1563	26877	7492
1564	26892	7474
1565	26908	7457
1566	26923	7439
1567	26939	7422
1568	26954	7404
1569	26970	7386
1570	26985	7369
1571	27000	7351
1572	27015	7333
1573	27030	7315
1574	27045	7297
1575	27060	7280
1576	27075	7262
1577	27091	7245
1578	27106	7227
1579	27121	7209
1580	27136	7191
1581	27151	7174
1582	27166	7156
1583	27183	7139
1584	27198	7121
1585	27213	7103
1586	27228	7085
1587	27243	7068
1588	27260	7051
1589	27276	7033
1590	27291	7015
1591	27307	6998
1592	27323	6980
1593	27338	6963
1594	27353	6945
1595	27368	6927
1596	27383	6910
1597	27398	6892
1598	27413	6874
1599	27428	6857
1600	27443	6839
1601	27458	6821
1602	27473	6804
1603	27489	6786
1604	27504	6768
1605	27519	6751
1606	27536	6734
1607	27551	6716
1608	27566	6698
1609	27581	6681
1610	27596	6663
1611	27611	6645
1612	27626	6628
1613	27641	6610
1614	27657	6593
1615	27673	6575
1616	27688	6558
1617	27703	6540
1618	27717	6522
1619	27733	6505
1620	27748	6487
1621	27762	6469
1622	27777	6452
1623	27792	6434
1624	27807	6417
1625	27822	6399
1626	27838	6382
1627	27852	6364
1628	27869	6347
1629	27885	6329
1630	27900	6312
1631	27916	6294
1632	27932	6277
1633	27946	6259
1634	27961	6242
1635	27976	6224
1636	27992	6207
1637	28006	6189
1638	28021	6171
1639	28036	6154
1640	28050	6136
1641	28065	6119
1642	28080	6101
1643	28096	6084
1644	28112	6066
1645	28127	6049
1646	28144	6032
1647	28159	6014
1648	28175	5997
1649	28191	5980
1650	28206	5962
1651	28221	5944
1652	28236	5927
1653	28251	5909
1654	28267	5892
1655	28281	5874
1656	28296	5857
1657	28311	5839
1658	28326	5822
1659	28344	5805
1660	28359	5787
1661	28375	5770
1662	28389	5753
1663	28406	5735
1664	28421	5718
1665	28436	5700
